Date,Campaign,Channel,Country,CustomerSegment,MarketingSpend,Impressions,Clicks,Conversions,Revenue,EngagementRate,ConversionRate,ROI,CustomerSatisfaction,BounceRate,AvgSessionTime
2024-01-01,Summer Sale,Email,Australia,Returning,1685.8,97824,14583,2475,159202.15,0.149,0.17,93.44,74,0.29,45.7
2024-01-02,Holiday Blast,Affiliate,Germany,New,3504.85,154369,22311,1207,293759.86,0.145,0.054,82.82,97,0.7,87.3
2024-01-03,Referral Program,Email,United States,New,972.75,26591,1803,279,34882.79,0.068,0.155,34.86,73,0.37,195.2
2024-01-04,Holiday Blast,Influencer,United States,Returning,816.13,25859,2058,290,58794.23,0.08,0.141,71.04,94,0.32,168.8
2024-01-05,Referral Program,Social Media,Russia,VIP,2491.93,54468,6832,574,25434.72,0.125,0.084,9.21,60,0.77,290.7
2024-01-06,Holiday Blast,Affiliate,Spain,VIP,3620.18,116513,3327,621,78763.63,0.029,0.187,20.76,77,0.27,163.7
2024-01-07,Holiday Blast,Social Media,Mexico,New,469.96,26492,1567,285,28094.28,0.059,0.182,58.78,65,0.51,177.6
2024-01-08,Referral Program,Email,South Africa,VIP,983.96,57840,9096,2163,490702.54,0.157,0.238,497.7,98,0.56,278.9
2024-01-09,New Launch,Email,Russia,New,627.42,17466,324,37,4273.83,0.019,0.114,5.81,84,0.36,253.8
2024-01-10,Summer Sale,Influencer,Brazil,VIP,1619.99,50604,5723,447,92298.05,0.113,0.078,55.97,96,0.24,296.5
2024-01-11,Holiday Blast,Affiliate,United Kingdom,New,3157.31,88242,975,207,38400.28,0.011,0.212,11.16,74,0.64,238.2
2024-01-12,New Launch,Email,India,New,573.97,19709,630,140,23397.58,0.032,0.222,39.76,84,0.4,47.2
2024-01-13,New Launch,PPC Ads,South Africa,Returning,1595.7,52669,7827,1389,312784.47,0.149,0.177,195.02,83,0.48,62.3
2024-01-14,New Launch,Social Media,Australia,New,3232.91,163040,19017,3883,538319.83,0.117,0.204,165.51,98,0.51,145.4
