Date,Campaign,Channel,Region,CustomerSegment,MarketingSpend,Impressions,Clicks,Conversions,Revenue,EngagementRate,ConversionRate,ROI,CustomerSatisfaction,BounceRate,AvgSessionTime
2024-01-01,Summer Sale,Email,Oceania,VIP,1685.8,97824,14583,2475,159202.15,0.149,0.17,93.44,75,0.29,45.7
2024-01-02,Holiday Blast,Social Media,Oceania,New,3504.85,154369,22311,1207,293759.86,0.145,0.054,82.82,94,0.7,87.3
2024-01-03,Summer Sale,Influencer,South America,New,972.75,26591,1803,279,34882.79,0.068,0.155,34.86,61,0.37,195.2
2024-01-04,Summer Sale,Social Media,Europe,New,816.13,25859,2058,290,58794.23,0.08,0.141,71.04,95,0.32,168.8
2024-01-05,Holiday Blast,Affiliate,Oceania,Churn Risk,2491.93,54468,6832,574,25434.72,0.125,0.084,9.21,74,0.77,290.7
2024-01-06,Referral Program,Influencer,Asia,New,3620.18,116513,3327,621,78763.63,0.029,0.187,20.76,70,0.27,163.7
2024-01-07,Referral Program,SEO,Asia,Returning,469.96,26492,1567,285,28094.28,0.059,0.182,58.78,73,0.51,177.6
2024-01-08,New Launch,Email,North America,Churn Risk,983.96,57840,9096,2163,490702.54,0.157,0.238,497.7,66,0.56,278.9
2024-01-09,New Launch,SEO,Africa,VIP,627.42,17466,324,37,4273.83,0.019,0.114,5.81,62,0.36,253.8
2024-01-10,Referral Program,Influencer,North America,Churn Risk,1619.99,50604,5723,447,92298.05,0.113,0.078,55.97,65,0.24,296.5
2024-01-11,Clearance,SEO,Oceania,VIP,3157.31,88242,975,207,38400.28,0.011,0.212,11.16,96,0.64,238.2
2024-01-12,Holiday Blast,Affiliate,North America,New,573.97,19709,630,140,23397.58,0.032,0.222,39.76,74,0.4,47.2
2024-01-13,New Launch,Email,Europe,New,1595.7,52669,7827,1389,312784.47,0.149,0.177,195.02,84,0.48,62.3
2024-01-14,New Launch,PPC Ads,Oceania,VIP,3232.91,163040,19017,3883,538319.83,0.117,0.204,165.51,70,0.51,145.4
2024-01-15,New Launch,SEO,Europe,VIP,394.05,9581,153,27,2677.27,0.016,0.176,5.79,64,0.51,275.0
2024-01-16,Clearance,Affiliate,Europe,Returning,1222.38,44513,6835,654,30695.87,0.154,0.096,24.11,70,0.37,73.5
2024-01-17,Referral Program,PPC Ads,Asia,Returning,3739.88,195688,25507,5721,1183147.75,0.13,0.224,315.36,80,0.31,271.0
2024-01-18,Summer Sale,Social Media,North America,VIP,2295.57,120052,21640,2458,133251.68,0.18,0.114,57.05,85,0.34,145.3
2024-01-19,New Launch,Email,Europe,VIP,3326.65,181066,2049,311,37889.26,0.011,0.152,10.39,73,0.33,62.4
2024-01-20,Referral Program,PPC Ads,Oceania,Churn Risk,1704.09,98353,7023,1079,199252.64,0.071,0.154,115.93,69,0.42,292.4
2024-01-21,New Launch,Social Media,Europe,VIP,4247.16,127717,13343,1470,136217.42,0.104,0.11,31.07,97,0.22,194.6
2024-01-22,Referral Program,Influencer,South America,VIP,2159.91,47645,2998,694,57396.31,0.063,0.231,25.57,74,0.29,162.2
2024-01-23,Holiday Blast,Influencer,South America,New,3946.91,117153,16132,3263,268480.49,0.138,0.202,67.02,63,0.64,129.3
2024-01-24,Summer Sale,Social Media,Oceania,Returning,2639.53,119679,13379,910,194527.56,0.112,0.068,72.7,87,0.39,80.4
2024-01-25,Clearance,Email,South America,Churn Risk,450.87,19674,2729,145,20685.77,0.139,0.053,44.88,98,0.34,204.2
2024-01-26,Referral Program,Influencer,Asia,New,945.16,45025,3758,891,53686.86,0.083,0.237,55.8,67,0.4,60.6
2024-01-27,Clearance,SEO,Oceania,VIP,4093.5,225525,13307,2421,507898.89,0.059,0.182,123.07,67,0.53,173.0
2024-01-28,New Launch,PPC Ads,Europe,Churn Risk,1314.34,31181,5627,1294,219051.32,0.18,0.23,165.66,60,0.4,124.3
2024-01-29,New Launch,Influencer,Europe,New,2986.04,166873,29794,6136,1050771.36,0.179,0.206,350.89,100,0.25,73.6
2024-01-30,New Launch,Affiliate,Africa,Returning,3624.65,160416,1884,132,23228.09,0.012,0.07,5.41,69,0.2,73.4
2024-01-31,New Launch,Social Media,Africa,New,2330.32,111099,14873,1410,263217.99,0.134,0.095,111.95,98,0.34,117.9
2024-02-01,New Launch,PPC Ads,North America,New,3062.02,140807,24127,4379,678867.14,0.171,0.181,220.71,83,0.26,129.3
2024-02-02,New Launch,Social Media,North America,Returning,1281.25,38129,7430,955,216068.98,0.195,0.129,167.64,96,0.58,244.6
2024-02-03,Summer Sale,Email,Oceania,Churn Risk,2375.73,102337,10599,943,178169.92,0.104,0.089,74.0,64,0.37,36.6
2024-02-04,Clearance,Social Media,Europe,Churn Risk,2957.07,80090,15111,3638,841360.86,0.189,0.241,283.53,95,0.42,34.2
2024-02-05,Holiday Blast,SEO,Africa,Churn Risk,3734.78,138662,26853,6517,1418503.78,0.194,0.243,378.81,73,0.38,134.0
2024-02-06,Clearance,Affiliate,Oceania,Returning,3449.21,112709,4756,767,180976.76,0.042,0.161,51.47,79,0.62,183.9
2024-02-07,Referral Program,Affiliate,Oceania,VIP,659.55,29416,5827,454,65390.77,0.198,0.078,98.14,88,0.73,230.0
2024-02-08,Clearance,PPC Ads,North America,Returning,2878.96,138476,10843,1178,245094.04,0.078,0.109,84.13,74,0.69,264.1
2024-02-09,Summer Sale,SEO,North America,Returning,3678.99,148828,15669,3285,568278.93,0.105,0.21,153.47,97,0.62,244.9
2024-02-10,Holiday Blast,Email,North America,New,3952.32,132481,10778,741,116501.23,0.081,0.069,28.48,74,0.22,155.7
