Country,Year,Avg_Temperature_C,Rainfall_mm,Crop,Yield_tons_per_ha,Fertilizer_Use_kg_per_ha,Soil_Quality_Index,Irrigation_Type,Tech_Adoption,Export_Value_USD_million,Carbon_Footprint_tCO2e_per_ha,Extreme_Event,Subsidies_USD_per_ha
Australia,2023,10.1,1667.8,Rice,5.15,232.3,0.79,Flood,Low,1.07,9.39,None,32.0
Kenya,2023,15.8,1819.2,Wheat,4.63,185.9,0.57,Flood,Medium,1.07,7.84,None,188.6
South Africa,2010,11.6,1908.0,Barley,5.32,252.1,0.98,Drip,High,0.89,7.7,Drought,93.6
Germany,2010,22.6,1300.6,Barley,3.09,268.0,0.31,Drip,Medium,0.63,6.91,Drought,185.3
South Africa,2013,24.9,885.6,Barley,8.85,260.5,0.98,Rainfed,High,1.75,7.71,None,61.9
USA,2011,21.4,1613.3,Corn,3.67,178.6,0.44,Drip,High,0.54,5.41,None,126.7
Brazil,2015,29.2,536.7,Barley,3.97,156.4,0.53,Sprinkler,High,0.71,5.62,None,324.8
Brazil,2016,11.4,1756.5,Sorghum,7.64,299.9,0.87,Flood,Medium,1.17,12.76,Flood,475.1
Mexico,2014,32.2,1050.0,Sorghum,3.18,228.3,0.38,Flood,High,0.49,8.0,Flood,103.8
China,2010,26.5,493.3,Wheat,0.59,210.6,0.35,Rainfed,Low,0.13,3.61,Heatwave,309.0
India,2010,12.0,1144.1,Rice,1.31,295.6,0.59,Flood,Low,0.31,8.54,Heatwave,439.5
Mexico,2012,31.1,241.9,Sorghum,2.37,120.5,0.87,Sprinkler,Low,0.38,3.95,None,176.7
Kenya,2016,20.5,645.9,Sorghum,0.96,239.5,0.55,Flood,Medium,0.12,6.85,None,17.7
China,2014,25.7,1452.3,Corn,4.27,206.9,0.62,Rainfed,High,0.89,5.02,None,176.4
Brazil,2021,22.6,1442.7,Barley,2.43,249.9,0.33,Drip,Medium,0.4,6.21,PestOutbreak,464.4
Mexico,2011,17.6,1144.6,Barley,3.94,122.8,0.6,Sprinkler,Low,0.67,4.87,None,79.6
China,2022,32.7,648.7,Rice,1.76,238.9,0.59,Rainfed,Low,0.37,4.53,None,122.5
Kenya,2016,34.1,1735.4,Corn,4.3,146.3,0.51,Sprinkler,Low,0.72,5.58,None,115.8
USA,2016,34.1,874.8,Rice,1.95,267.1,0.5,Sprinkler,Medium,0.58,6.95,None,486.4
Brazil,2020,19.3,1597.5,Soy,4.21,282.7,0.54,Flood,Medium,1.23,10.09,Flood,389.5
Germany,2015,12.2,552.8,Rice,1.59,131.3,0.33,Drip,Low,0.36,3.42,Flood,77.8
Australia,2012,30.2,1813.0,Rice,1.55,77.5,0.52,Flood,Low,0.38,3.02,Flood,173.5
Australia,2016,15.7,1500.1,Barley,5.29,210.3,0.8,Rainfed,Medium,1.08,5.48,None,75.7
Mexico,2010,33.8,1802.5,Sorghum,2.05,205.0,0.62,Flood,Low,0.27,6.66,None,77.1
Australia,2024,23.8,1209.7,Wheat,2.37,150.9,0.91,Rainfed,Medium,0.42,3.36,Flood,127.9
Mexico,2010,14.5,822.2,Sorghum,7.06,168.5,0.93,Flood,High,0.92,8.97,None,17.8
Mexico,2023,12.1,1976.0,Wheat,3.8,142.7,0.56,Rainfed,Low,0.99,3.8,Storm,153.1
Canada,2016,17.1,266.4,Rice,2.09,175.7,0.73,Drip,High,0.48,4.56,Heatwave,55.5
Germany,2010,11.6,1981.9,Corn,1.84,252.5,0.53,Flood,Medium,0.36,7.76,Flood,123.2
Kenya,2018,24.4,1086.5,Wheat,1.9,230.6,0.44,Rainfed,High,0.34,4.45,None,43.7
China,2021,23.1,969.6,Wheat,0.71,77.0,0.32,Rainfed,High,0.16,1.52,None,278.9
Canada,2018,29.7,1097.2,Sorghum,2.98,184.3,0.36,Sprinkler,High,0.49,5.69,None,34.2
Mexico,2022,28.2,1956.5,Corn,6.87,130.7,0.66,Drip,High,1.12,6.05,None,24.9
China,2020,31.2,645.2,Sorghum,4.77,82.3,0.62,Flood,Low,0.75,5.24,None,352.3
India,2017,25.8,632.3,Barley,1.06,82.2,0.35,Flood,High,0.18,2.83,None,338.4
Kenya,2013,17.2,1263.5,Wheat,3.42,59.3,0.32,Drip,High,0.71,2.9,None,109.2
Australia,2023,13.6,1081.0,Wheat,6.97,110.5,0.99,Drip,Low,1.69,5.7,None,148.4
Kenya,2018,25.5,864.0,Soy,1.08,236.9,0.62,Flood,Low,0.29,6.86,Drought,180.1
Canada,2022,28.4,1646.3,Soy,3.83,94.4,0.5,Drip,Low,1.29,3.8,Storm,88.4
Brazil,2024,14.2,701.5,Corn,0.96,72.2,0.42,Flood,Low,0.17,2.5,None,213.9
India,2022,18.1,1543.7,Sorghum,6.76,262.3,0.75,Sprinkler,High,1.04,9.49,None,215.5
Mexico,2011,27.1,492.7,Corn,9.38,255.6,0.94,Rainfed,High,1.84,7.84,None,89.5
South Africa,2024,11.0,1263.6,Sorghum,3.72,54.1,0.77,Flood,Low,0.5,3.82,None,43.1
